Year,Month,Aircraft Landing,Aircraft Take-off,Aircraft Total,Aircraft Year-on-year % change,Passenger Arrival,Passenger Departure,Passenger Total,Passenger Year-on-year % change,Freight Unloaded,Freight Loaded,Freight Total,Freight Year-on-year % change
2003,Jul,7093,7095,14188,-19.5,1203133,1198583,2401716,-18.7,84335,126918,211253,1.2
2003,Aug,8463,8460,16923,-7.6,1509449,1430921,2940370,-5.5,85054,134104,219158,5.6
2003,Sep,8477,8479,16956,-3.6,1282265,1309868,2592133,-3.6,89408,145534,234942,7.9
2003,Oct,9374,9370,18744,0.2,1432563,1375288,2807851,-4.9,93022,167957,260979,4.7
2003,Nov,9272,9275,18547,3.1,1355812,1326757,2682569,-0.1,95410,172388,267798,6.1
2003,Dec,9493,9502,18995,4.4,1471072,1444762,2915834,0.3,97529,150598,248128,15.4
2004,Jan,9656,9650,19306,6.4,1462011,1502530,2964541,8,80533,116498,197032,-0.5
2004,Feb,8605,8597,17202,3.4,1212443,1133189,2345632,-10.9,90381,132537,222918,39.3
2004,Mar,9582,9589,19171,5.9,1389324,1369687,2759011,12.4,100376,169473,269849,14.1
2004,Apr,9842,9842,19684,62.2,1538619,1500544,3039163,240.4,94557,153836,248393,22.2
2004,May,9763,9763,19526,126.3,1375639,1379485,2755124,395.5,98580,147313,245894,22.5
2004,Jun,9629,9625,19254,102.5,1513929,1495996,3009925,165.7,98863,149670,248533,23.4
2004,Jul,10203,10200,20403,43.8,1678414,1677102,3355516,39.7,100383,156743,257126,21.7
2004,Aug,10282,10278,20560,21.5,1749152,1676775,3425927,16.5,92807,161679,254485,16.1
2004,Sep,10024,10034,20058,18.3,1453376,1527031,2980407,15,101489,175726,277215,18
2004,Oct,10555,10543,21098,12.6,1702428,1594733,3297161,17.4,103077,190806,293883,12.6
2004,Nov,10104,10106,20210,9,1561870,1534137,3096007,15.4,98732,196427,295159,10.2
2004,Dec,10417,10419,20836,9.7,1645946,1612282,3258228,11.7,104957,174467,279425,12.6
2005,Jan,10173,10168,20341,5.4,1467450,1471398,2938848,-0.9,93084,154030,247115,25.4
2005,Feb,9563,9569,19132,11.2,1536135,1491777,3027912,29.1,82848,121763,204611,-8.2
2005,Mar,10663,10656,21319,11.2,1600054,1647708,3247762,17.7,105221,185691,290913,7.8
2005,Apr,10658,10664,21322,8.3,1655053,1611318,3266371,7.5,103219,182117,285336,14.9
2005,May,10832,10830,21662,10.9,1623554,1624951,3248505,17.9,102490,168390,270880,10.2
2005,Jun,10670,10664,21334,10.8,1611684,1607484,3219168,7,104865,175059,279924,12.6
2005,Jul,11369,11368,22737,11.4,1837625,1856694,3694319,10.1,107584,182618,290201,12.9
2005,Aug,11497,11484,22981,11.8,1866146,1793787,3659933,6.8,102913,179431,282344,10.9
2005,Sep,11310,11329,22639,12.9,1603116,1626113,3229229,8.3,109513,193985,303498,9.5
2005,Oct,11830,11817,23647,12.1,1775323,1716958,3492281,5.9,110050,208110,318160,8.3
2005,Nov,11454,11460,22914,13.4,1652645,1634383,3287028,6.2,107843,211245,319088,8.1
2005,Dec,11740,11736,23476,12.7,1761982,1726257,3488239,7.1,116336,193844,310181,11
2006,Jan,11559,11552,23111,13.6,1613628,1782586,3396214,15.6,98036,171240,269275,9
2006,Feb,10327,10336,20663,8,1692003,1490459,3182462,5.1,93641,130543,224184,9.6
2006,Mar,11798,11783,23581,10.6,1736965,1706518,3443483,6,113324,207062,320386,10.1
2006,Apr,11766,11770,23536,10.4,1858407,1860444,3718851,13.9,106566,188412,294978,3.4
2006,May,11627,11628,23255,7.4,1731123,1726936,3458059,6.5,105954,177630,283584,4.7
2006,Jun,11442,11445,22887,7.3,1782229,1752060,3534289,9.8,107976,181798,289774,3.5
2006,Jul,11967,11968,23935,5.3,1985718,2022168,4007886,8.5,109369,183936,293305,1.1
2006,Aug,11865,11867,23732,3.3,2029039,1958882,3987921,9,104689,188487,293176,3.8
2006,Sep,11658,11641,23299,2.9,1685220,1750234,3435454,6.4,114225,206903,321129,5.8
2006,Oct,12201,12204,24405,3.2,1917065,1851078,3768143,7.9,113091,215110,328201,3.2
2006,Nov,11879,11872,23751,3.7,1790379,1765254,3555633,8.2,115482,227231,342714,7.4
2006,Dec,12114,12111,24225,3.2,1904972,1880303,3785275,8.5,118115,201528,319643,3.1
2007,Jan,11773,11776,23549,1.9,1686567,1693698,3380265,-0.5,101067,169711,270778,0.6
2007,Feb,11138,11128,22266,7.8,1744611,1781873,3526484,10.8,90390,144550,234940,4.8
2007,Mar,12056,12048,24104,2.2,1870849,1835500,3706349,7.6,113910,189352,303261,-5.3
2007,Apr,12212,12219,24431,3.8,1962130,1964932,3927062,5.6,105276,193026,298302,1.1
2007,May,12371,12370,24741,6.4,1849159,1841896,3691055,6.7,107984,186240,294224,3.8
2007,Jun,12085,12076,24161,5.6,1866715,1893134,3759849,6.4,113950,190823,304773,5.2
2007,Jul,12682,12682,25364,6,2111548,2139297,4250845,6.1,115394,199425,314819,7.3
2007,Aug,12776,12778,25554,7.7,2171869,2119135,4291004,7.6,116614,206857,323471,10.3
2007,Sep,12328,12328,24656,5.8,1815579,1886211,3701790,7.8,121428,221153,342581,6.7
2007,Oct,12891,12878,25769,5.6,2045663,1967421,4013084,6.5,120801,231793,352595,7.4
2007,Nov,12567,12566,25133,5.8,1973422,1946694,3920116,10.3,121881,242186,364067,6.2
2007,Dec,12796,12808,25604,5.7,2072110,2056550,4128660,9.1,123393,214833,338227,5.8
2008,Jan,12377,12375,24752,5.1,1895369,1954482,3849851,13.9,112202,183227,295429,9.1
2008,Feb,11869,11852,23721,6.5,1914806,1866881,3781687,7.2,99485,147009,246494,4.9
2008,Mar,12855,12868,25723,6.7,2048338,2070194,4118532,11.1,120054,214142,334196,10.2
2008,Apr,12515,12500,25015,2.4,1971341,1971196,3942537,0.4,115204,205168,320372,7.4
2008,May,12894,12891,25785,4.2,1989197,2018584,4007781,8.6,117341,196866,314207,6.8
2008,Jun,12405,12402,24807,2.7,1971715,1988285,3960000,5.3,115362,196501,311863,2.3
2008,Jul,12936,12945,25881,2,2135526,2177098,4312624,1.5,116574,200602,317176,0.7
2008,Aug,12710,12699,25409,-0.6,2053668,2002647,4056315,-5.5,112901,198147,311048,-3.8
2008,Sep,12256,12275,24531,-0.5,1740560,1791770,3532330,-4.6,111934,205648,317582,-7.3
2008,Oct,12988,12981,25969,0.8,2004086,1949857,3953943,-1.5,110680,209179,319859,-9.3
2008,Nov,12405,12387,24792,-1.4,1848194,1855153,3703347,-5.5,101081,194450,295531,-18.8
2008,Dec,12367,12386,24753,-3.3,1960593,1958952,3919545,-5.1,93722,149771,243493,-28
2009,Jan,12121,12110,24231,-2.1,1847357,2037214,3884571,0.9,79692,130289,209981,-28.9
2009,Feb,10614,10606,21220,-10.5,1704849,1548504,3253353,-14,83284,114297,197581,-19.8
2009,Mar,11888,11898,23786,-7.5,1895295,1906364,3801659,-7.7,102162,165759,267921,-19.8
2009,Apr,12035,12046,24081,-3.7,2061094,2072120,4133214,4.8,100154,156445,256599,-19.9
2009,May,11712,11699,23411,-9.2,1739160,1769457,3508617,-12.5,102162,156485,258647,-17.7
2009,Jun,10753,10743,21496,-13.3,1605696,1614833,3220529,-18.7,105408,164331,269739,-13.5
2009,Jul,11641,11659,23300,-10,1944748,1977040,3921788,-9.1,113673,177918,291591,-8.1
2009,Aug,11854,11842,23696,-6.7,2124738,2075480,4200218,3.5,113246,182571,295817,-4.9
2009,Sep,11272,11286,22558,-8,1669139,1763006,3432145,-2.8,111237,192667,303904,-4.3
2009,Oct,11964,11948,23912,-7.9,1950671,1873430,3824101,-3.3,117084,206038,323122,1
2009,Nov,11753,11747,23500,-5.2,1868035,1872810,3740845,1,114207,229353,343560,16.3
2009,Dec,12108,12102,24210,-2.2,2034469,2040278,4074747,4,120925,207859,328784,35
